frequency,vout_spec_dB
4.166665000000000146e+04,-4.835767839999999751e+01
8.333330000000000291e+04,-5.875726969999999660e+00
1.249999499999999971e+05,-6.338983130000000000e-07
1.666666000000000058e+05,-6.177129690000000117e+00
2.083332500000000000e+05,-4.978856210000000004e+01
2.499998999999999942e+05,-6.155276489999999967e+01
2.916665499999999884e+05,-5.939036060000000106e+01
3.333332000000000116e+05,-3.648645400000000194e+01
3.749998499999999767e+05,-3.040888169999999846e+01
4.166665000000000000e+05,-3.671498640000000080e+01
4.583331500000000233e+05,-6.857981279999999913e+01
4.999997999999999884e+05,-6.140026890000000037e+01
5.416664499999999534e+05,-6.293329299999999904e+01
5.833330999999999767e+05,-5.559045629999999960e+01
6.249997500000000000e+05,-5.160008109999999704e+01
6.666664000000000233e+05,-5.983723549999999847e+01
